,id,user_edad,car_marca,car_modelo,car_tipo,car_kilometraje,car_transmision,car_plataforma,deduccion_deduccion_kilometraje,deduccion_tipo_vehiculo,deduccion_mecanica,deduccion_carroceria,deduccion_suspension,deduccion_neumaticos,deduccion_cristales,deduccion_tenencias,deduccion_infracciones,deduccion_propietario,deduccion_extemporanea,deduccion_totalDescuentos,ajuste_monto_solicitado_cliente,ajuste_precio_guia_autometrica,ajuste_valor_avaluo,ajuste_tipo_vehiculo,ajuste_avaluo_km,ajuste_avaluo_ajustado,ajuste_avaluo_tipo_vehiculo,ajuste_multas,ajuste_tramites,ajuste_averia_estetica_mecanica,ajuste_monto_prestar,ajuste_margen_favor
54,148,26.328822838568886,Volkswagen,2013,SEAT IBIZA REFERENCE 5P 2.0,240000,manual,no,21.0,0,,,0,,,,,,,0,1,104800,73360,,22008,51352,0,0,0,0,51352,51351
55,149,28.093767007380805,Renault,2013,Duster  Renault  SUV,102000,manual,si,0.0,49,,,0,,,,,,,0,1,111700,78190,,0,39877,38313,0,0,0,39877,39876
56,150,33.937732156235434,Suzuki,2013,SUZUKI SWIFT SPORT 6v 1.6,25850,manual,no,0.0,0,,,0,,,,,,,0,1,135000,94500,,0,94500,0,0,0,0,94500,94499
57,151,28.867301817359444,Mercedes-Benz,2018,"Mercedes Benz CLA 200 sport, 2018",30000,manual,no,0.0,0,,,0,,,,,,,0,1,346900,242829,,0,242829,0,0,0,0,242829,242828
58,152,30.871928939756714,Nissan,2022,"Nissan ,versa Sense drive",60000,manual,si,21.0,42,,,0,,,,,,,0,1,225700,157990,,47397,44238,66355,0,0,0,44238,44237
59,153,30.565586801226335,Nissan,2016,"nissan march advanced, 5 puertas, transmisión manual",111000,manual,no,0.0,0,,,0,,,,,,,0,1,130900,91630,,0,91630,0,0,0,0,91630,91629
60,154,30.291680329662796,Renault,2018,Renault Duster Int manual,71000,manual,no,0.0,49,,,0,,,,,,,0,1,182500,127749,,0,65152,62597,0,0,0,65152,65151
61,155,38.0,Renault,2018,RENAULT DUSTER INTENS T/M,71000,manual,no,0.0,0,0.0,0.0,0,0.0,0.0,0.0,7115.0,0.0,0.0,7115,1,182500,127749,,0,127749,0,7115,0,0,120634,120633
62,156,27.296305538350467,Nissan,2015,NISSAN NP 300 ESTACAS,80900,manual,no,0.0,0,,,0,,,,,,,0,1,185000,129499,,0,129499,0,0,0,0,129499,129498
63,157,34.875570302647944,Nissan,2016,NISSAN MARCH ADVANCE,109000,manual,no,0.0,0,,,0,,,,,,,0,1,130900,91630,,0,91630,0,0,0,0,91630,91629
